,id,HD1,AI,FHD,Group_H,Group_AI
0,1.0,1.0,1.0,1.0,1.0,AI
1,1.0,1.0,1.0,1.0,1.0,XAI
2,1.0,0.0,1.0,1.0,1.0,AI
3,1.0,1.0,1.0,1.0,1.0,XAI
4,1.0,1.0,1.0,1.0,1.0,AI
5,1.0,1.0,1.0,1.0,1.0,XAI
6,1.0,1.0,1.0,1.0,1.0,AI
7,1.0,1.0,1.0,1.0,1.0,XAI
8,1.0,0.0,1.0,0.0,1.0,AI
9,1.0,0.0,1.0,0.0,1.0,XAI
10,1.0,0.0,1.0,0.0,1.0,AI
11,1.0,0.0,1.0,0.0,1.0,XAI
12,1.0,0.0,1.0,1.0,1.0,AI
13,1.0,1.0,1.0,1.0,1.0,XAI
14,1.0,0.0,1.0,0.0,1.0,AI
15,1.0,0.0,1.0,0.0,1.0,XAI
16,1.0,0.0,0.0,0.0,1.0,AI
17,1.0,0.0,0.0,0.0,1.0,XAI
18,1.0,0.0,1.0,1.0,1.0,AI
19,1.0,1.0,1.0,1.0,1.0,XAI
20,1.0,1.0,0.0,1.0,1.0,AI
21,1.0,1.0,0.0,1.0,1.0,XAI
22,1.0,0.0,1.0,0.0,1.0,AI
23,1.0,0.0,1.0,1.0,1.0,XAI
24,1.0,0.0,1.0,0.0,1.0,AI
25,1.0,0.0,1.0,0.0,1.0,XAI
26,1.0,0.0,0.0,0.0,1.0,AI
27,1.0,0.0,0.0,0.0,1.0,XAI
28,1.0,0.0,1.0,0.0,1.0,AI
29,1.0,0.0,1.0,0.0,1.0,XAI
30,1.0,0.0,0.0,0.0,1.0,AI
31,1.0,0.0,0.0,0.0,1.0,XAI
32,1.0,0.0,1.0,1.0,1.0,AI
33,1.0,1.0,1.0,1.0,1.0,XAI
34,1.0,0.0,1.0,1.0,1.0,AI
35,1.0,1.0,1.0,1.0,1.0,XAI
36,1.0,0.0,0.0,0.0,1.0,AI
37,1.0,0.0,0.0,0.0,1.0,XAI
